worker_id,assignment_id,rt,slider_response,raw_stimulus,scenario,comparison,item_type,trial_index,time_elapsed
48,62cb830a4fbe7c0a2b86eb5f,13418,43,"Suppose you learn someone likes <b>pasta arrabiata</b>. How much does that change your beliefs about whether they would also <b>like chocolate cookies</b>?",pasta arrabiata,like chocolate cookies,other category,1,33042
48,62cb830a4fbe7c0a2b86eb5f,6621,84,"Suppose you learn someone likes watching <b>cartoons</b>. How much does that change your beliefs about whether they would also <b>like animated films</b>?",cartoons,like animated films,close competitor,2,39664
48,62cb830a4fbe7c0a2b86eb5f,7843,76,"Suppose you learn someone likes <b>raspberry cake</b>. How much does that change your beliefs about whether they would also <b>like raspberry pie</b>?",raspberry cake,like raspberry pie,close competitor,3,47508
48,62cb830a4fbe7c0a2b86eb5f,7802,57,"Suppose you learn someone likes <b>drinking tea</b>. How much does that change your beliefs about whether they would also <b>like red wine</b>?",drinking tea,like red wine,other category,4,55311
48,62cb830a4fbe7c0a2b86eb5f,8668,41,"Suppose you learn someone likes listening to <b>hard rock</b>. How much does that change your beliefs about whether they would also <b>like classic rock</b>?",hard rock,like classic rock,close competitor,5,63980
48,62cb830a4fbe7c0a2b86eb5f,4454,58,"Suppose you learn someone likes listening to <b>bebop jazz</b> How much does that change your beliefs about whether they would also <b>like cool jazz</b>?",bebop jazz,like cool jazz,same category,6,68436
48,62cb830a4fbe7c0a2b86eb5f,8705,50,"Suppose you learn someone wants to take a <b>morning flight to Madrid</b>. How much does that change your beliefs about whether they would also <b>want an evening flight to the United States</b>?",morning flight to Madrid,want an evening flight to the United States,other category,7,77142
48,62cb830a4fbe7c0a2b86eb5f,6912,24,"Suppose you learn someone wants to take an <b>afternoon flight to Boston</b>. How much does that change your beliefs about whether they would also <b>want a morning flight to Boston</b>?",afternoon flight to Boston,want a morning flight to Boston,close competitor,8,84055
48,62cb830a4fbe7c0a2b86eb5f,4901,36,"Suppose you learn someone likes <b>drinking white wine</b>. How much does that change your beliefs about whether they would also <b>like beer</b>?",drinking white wine,like beer,same category,9,88957
48,62cb830a4fbe7c0a2b86eb5f,6669,25,"Suppose you learn someone likes watching <b>fantasy movies</b>. How much does that change your beliefs about whether they would also <b>like film noirs</b>?",fantasy movies,like film noirs,same category,10,95628
21,62cb830a4fbe7c0a2b86eb5f,39126,75,"Suppose you learn someone likes watching <b>fantasy movies</b>. How much does that change your beliefs about whether they would also <b>like science fiction movies</b>?",fantasy movies,like science fiction movies,close competitor,1,47311
21,62cb830a4fbe7c0a2b86eb5f,4083,49,"Suppose you learn someone likes listening to <b>hard rock</b>. How much does that change your beliefs about whether they would also <b>like dixieland</b>?",hard rock,like dixieland,other category,2,51396
21,62cb830a4fbe7c0a2b86eb5f,3633,7,"Suppose you learn someone likes listening to <b>bebop jazz</b> How much does that change your beliefs about whether they would also <b>like death metal</b>?",bebop jazz,like death metal,other category,3,55030
21,62cb830a4fbe7c0a2b86eb5f,3139,69,"Suppose you learn someone likes <b>drinking tea</b>. How much does that change your beliefs about whether they would also <b>like coffee</b>?",drinking tea,like coffee,close competitor,4,58169
21,62cb830a4fbe7c0a2b86eb5f,2935,51,"Suppose you learn someone likes <b>raspberry cake</b>. How much does that change your beliefs about whether they would also <b>like cheese sandwiches</b>?",raspberry cake,like cheese sandwiches,other category,5,61105
21,62cb830a4fbe7c0a2b86eb5f,2624,50,"Suppose you learn someone wants to take an <b>afternoon flight to Boston</b>. How much does that change your beliefs about whether they would also <b>want an afternoon flight to Europe</b>?",afternoon flight to Boston,want an afternoon flight to Europe,other category,6,63731
21,62cb830a4fbe7c0a2b86eb5f,18721,60,"Suppose you learn someone likes watching <b>cartoons</b>. How much does that change your beliefs about whether they would also <b>like horror movies</b>?",cartoons,like horror movies,other category,7,82453
21,62cb830a4fbe7c0a2b86eb5f,2303,81,"Suppose you learn someone likes <b>drinking white wine</b>. How much does that change your beliefs about whether they would also <b>like beer</b>?",drinking white wine,like beer,same category,8,84757
21,62cb830a4fbe7c0a2b86eb5f,2691,50,"Suppose you learn someone wants to take a <b>morning flight to Madrid</b>. How much does that change your beliefs about whether they would also <b>want a morning flight to Berlin</b>?",morning flight to Madrid,want a morning flight to Berlin,same category,9,87449
21,62cb830a4fbe7c0a2b86eb5f,3315,67,"Suppose you learn someone likes <b>pasta arrabiata</b>. How much does that change your beliefs about whether they would also <b>like pizza</b>?",pasta arrabiata,like pizza,same category,10,90765
42,62cb830a4fbe7c0a2b86eb5f,7799,96,"Suppose you learn someone likes listening to <b>bebop jazz</b> How much does that change your beliefs about whether they would also <b>like cool jazz</b>?",bebop jazz,like cool jazz,same category,1,19841
42,62cb830a4fbe7c0a2b86eb5f,3112,91,"Suppose you learn someone likes listening to <b>hard rock</b>. How much does that change your beliefs about whether they would also <b>like heavy metal</b>?",hard rock,like heavy metal,same category,2,22957
42,62cb830a4fbe7c0a2b86eb5f,5196,52,"Suppose you learn someone likes watching <b>cartoons</b>. How much does that change your beliefs about whether they would also <b>like horror movies</b>?",cartoons,like horror movies,other category,3,28157
42,62cb830a4fbe7c0a2b86eb5f,4296,50,"Suppose you learn someone likes <b>pasta arrabiata</b>. How much does that change your beliefs about whether they would also <b>like chocolate cookies</b>?",pasta arrabiata,like chocolate cookies,other category,4,32458
